spotify_track_id,songid,performer,song,spotify_track_album,spotify_track_explicit,first_chart_appearance,peak_position,weeks_on_chart
3LIGS2KScSoi6O7XT0NQRv,Mama Can't Buy You LoveElton John,Elton John,Mama Can't Buy You Love,The Complete Thom Bell Sessions,false,1979-06-09,69,18
0otlwsD3mSogk7VJCTp6Kg,Let My Love Open The DoorPete Townshend,Pete Townshend,Let My Love Open The Door,Empty Glass,false,1980-06-14,69,19
2oBays3WwAHXspT84n5Lhg,Feel Good TimeP!nk Featuring William Orbit,P!nk Featuring William Orbit,Feel Good Time,Try This,false,2003-06-28,69,5
6ihL9TjfRjadfEePzXXyVF,Gives You HellThe All-American Rejects,The All-American Rejects,Gives You Hell,When The World Comes Down,false,2008-11-29,69,36
0fMhhdMdbC94rHHK63jwWu,Fix A HeartDemi Lovato,Demi Lovato,Fix A Heart,Unbroken,false,2011-10-08,69,1
4ipnJyDU3Lq15qBAYNqlqK,Mi GenteJ Balvin & Willy William Featuring Beyonce,J Balvin & Willy William Featuring Beyonce,Mi Gente,Mi Gente,false,2017-07-22,70,29
2jH0hsKtB5SayYxPoqKric,I CriedJames Brown,James Brown,I Cried,Roots Of A Revolution,false,1971-05-08,71,6
5v2snXqNEVtKxsJy5YBVfV,I Won't Let You DownOK Go,OK Go,I Won't Let You Down,Hungry Ghosts,false,2014-11-15,71,1
4rqHqtar4uKmHRYgAs2qN3,DreamEtta James,Etta James,Dream,Blues,false,1961-06-24,72,3
5rMthFHPxRDi4Uxg06iK6H,HimRupert Holmes,Rupert Holmes,Him,Partners In Crime,false,1980-01-19,72,17
6iaJUPHLONFJ02RTeaMuy8,Hit Or MissJacob Sartorius,Jacob Sartorius,Hit Or Miss,Hit or Miss,false,2016-08-13,81,2
0XLXN9FPQIOl9v7J4TrrF5,Love Is BlueAl Martino,Al Martino,Love Is Blue,Capitol Collectors Series,false,1968-02-10,73,7
0vOkmmJEtjuFZDzrQSFzEE,Hit Me With Your Best ShotPat Benatar,Pat Benatar,Hit Me With Your Best Shot,Crimes Of Passion,false,1980-10-04,73,24
0sYalxPCX8OcwdYZcFzRgN,IntuitionJewel,Jewel,Intuition,304,false,2003-05-10,73,20
55TAMPcVRoKJMAge37tkhr,Oh YeahThe Shadows Of Knight,The Shadows Of Knight,Oh Yeah,Gloria,false,1966-06-04,74,6
0bkKdtT5Biv0pwM2uVKKsL,Look In My Eyes Pretty WomanTony Orlando & Dawn,Tony Orlando & Dawn,Look In My Eyes Pretty Woman,The Definitive Collection,false,1974-12-21,74,12
1H5A1GNZUv4eUf1t9RFdid,MagicOlivia Newton-John,Olivia Newton-John,Magic,20th Century Masters: The Millennium Collection: Best Of Olivia Newton-John,false,1980-05-24,74,23
3XhyafaTVD6ViaRFIL4bNo,"Like A Surgeon""Weird Al"" Yankovic","""Weird Al"" Yankovic",Like A Surgeon,"The Essential ""Weird Al"" Yankovic",false,1985-06-22,74,8
